520312117,883,3791,58,8312,56703,1
315832030,4689,710,64,0,59161,1
232415620,187,328,0,1203,4774,0
16334281,83125,1245,1920,3186,150699,0
7.74E+17,42,250,0,1604,5786,0
1251207379,262,678,1,12058,1544,0
130094332,29,40,0,749,321,0
1240162124,165,23,12,0,5899,0
28153797,7067,4835,92,1293,4575,0
16334281,83125,1245,1920,3186,150699,0
1.01E+18,6,200,0,13,8,0
37560309,350,171,1,4557,9759,1
460647806,225,251,0,11295,1089,1
446705287,343,238,0,4847,6191,1
2525597799,872,625,17,10304,28052,1
1342798508,264,218,2,100,1119,1
2182728104,381,87,10,38028,27872,1
292000814,2136,952,20,30,105115,1
138925333,24140,12494,212,4950,6794,0
2280528821,856,946,4,11606,12651,1
1564943035,522,336,4,11332,8199,0
184892971,1711,1888,27,113320,81720,0
296241628,561,864,0,421,1182,1
9.40E+17,10,72,0,4633,127,1
168434534,178,118,24,9880,5100,1
8.68E+17,86,78,1,1708,448,0
2280528821,856,946,4,11606,12651,0
1933031706,53,38,1,206,1046,1
7.81E+17,822,980,13,686,2218,1
2713796591,657,1342,2,11262,3469,1
8.87E+17,64,22,3,6,104304,0
9.93E+17,819,1142,0,4201,4278,0
1.01E+18,1,5,0,17,178,0
469136624,232,384,2,20547,38119,1
3415862159,10650,5671,7,50399,31271,0
8.87E+17,64,22,3,6,104304,0
1.00E+18,5,14,0,45,99,0
221480999,1119,873,2,199,48327,1
292000814,2136,952,20,30,105115,1
2215752356,65,60,7,75242,49837,0
3288667588,8,23,0,109,22,0
292000814,2136,952,20,30,105115,1
230842577,169,1724,8,16368,4082,0
292000814,2136,952,20,30,105115,1
8.87E+17,64,22,3,6,104304,1
2568284941,329,980,3,32703,34859,0
181011756,2415,799,76,6281,376589,0
8.87E+17,64,22,3,6,104304,0
549214973,3501,2725,1,9051,10351,1
2553361135,168,224,1,584,8649,0
2227543675,481,444,7,51054,8285,0
7.09E+17,6220,546,34,42326,1921,0
3327023715,2333,2412,0,7223,3269,0
2922278671,218,256,1,107,2152,0
898988300,66,249,0,547,2848,1
8.87E+17,64,22,3,6,104304,0
1.01E+18,21,58,0,95,100,1
1.00E+18,3,35,0,161,63,0
292000814,2136,952,20,30,105115,0
76058451,111,333,2,2704,7336,0
1110320342,821,1025,1,7983,10765,1
1594101133,1914,2132,4,59062,47141,1
8.75E+17,99,32,1,5443,2865,1
1594101133,1914,2132,4,59062,47141,1
9.60E+17,1736,4936,4,10343,9531,0
9.60E+17,1736,4936,4,10343,9531,0
17446621,2897064,2781,20850,763,328168,0
344236872,1945,265,55,677,2815,0
22209094,73,249,1,132,1160,1
133627135,740,1186,188,28138,104590,0
1110320342,821,1025,1,7983,10765,1
109039756,211,178,1,297,19314,0
540405511,18160,19910,173,7046,103714,1
7.30E+17,28,104,0,2899,2074,1
9.52E+17,6411,6424,8,27115,26226,1
7.96E+17,3290,2358,5,73370,46148,1
1594101133,1914,2132,4,59062,47141,1
9.60E+17,1736,4936,4,10343,9531,0
